temp,pressure,humidity,precipitation,cloud,gust,condition
23.8,1011.0,46,0.0,7,7.6,Clear
25.3,1011.0,41,0.0,7,7.6,Clear
26.8,1011.0,37,0.0,6,7.6,Clear
28.3,1010.0,33,0.0,6,7.6,Clear
28.7,1010.0,32,0.0,6,9.7,Clear
29.1,1009.0,31,0.0,7,11.9,Clear
29.5,1009.0,30,0.0,8,14.0,Clear
28.7,1008.0,33,0.0,9,16.2,Clear
27.9,1008.0,35,0.0,10,18.4,Clear
27.1,1008.0,38,0.0,12,20.5,Clear
25.9,1008.0,43,0.0,19,20.9,Clear
24.8,1008.0,47,0.23,27,21.2,Chance of rain
23.6,1008.0,52,0.31,34,21.6,Chance of rain
22.9,1008.0,56,0.16,49,21.5,Chance of rain
22.1,1009.0,60,1.4,64,21.4,Rainy
21.4,1009.0,64,1.87,79,21.2,Rainy
21.1,1009.0,67,0.93,82,20.2,Rainy
20.8,1008.0,70,1.93,84,19.1,Chance of rain
20.5,1008.0,73,2.58,86,18.0,Chance of rain
20.8,1008.0,72,1.29,84,15.0,Chance of rain
21.0,1007.0,71,0.03,81,12.0,Chance of rain
21.3,1007.0,71,0.04,79,9.0,Chance of rain
22.2,1007.0,67,0.02,73,8.5,Chance of rain
23.2,1007.0,63,0.03,66,8.0,Clear
24.1,1007.0,60,0.04,60,7.6,Clear
25.4,1007.0,54,0.02,45,9.6,Clear
26.6,1006.0,49,0.0,30,11.6,Clear
27.9,1006.0,44,0.0,16,13.7,Clear
28.4,1005.0,41,0.0,22,15.5,Clear
28.9,1005.0,39,0.0,29,17.3,Chance of rain
29.4,1004.0,37,0.0,36,19.1,Chance of rain
28.9,1004.0,38,0.0,43,19.8,Chance of rain
28.5,1004.0,39,0.0,50,20.5,Chance of rain
28.0,1004.0,40,0.0,57,21.2,Chance of rain
27.2,1004.0,43,0.0,55,23.0,Chance of rain
26.5,1004.0,46,0.13,52,24.8,Rainy
25.7,1004.0,49,0.18,50,26.6,Rainy
24.4,1005.0,50,0.09,52,25.9,Rainy
23.2,1005.0,51,0.43,55,25.2,Rainy
28.3,1017.0,50,0.0,6,7.9,Clear
27.9,1017.0,50,0.0,8,6.2,Clear
27.4,1016.0,51,0.0,10,4.6,Clear
27.0,1016.0,51,0.0,12,2.9,Clear
27.3,1016.0,50,0.0,10,3.0,Clear
27.6,1016.0,49,0.0,7,3.1,Clear
27.9,1016.0,48,0.0,5,3.2,Clear
29.7,1016.0,45,0.0,3,3.0,Clear
31.4,1016.0,41,0.0,2,2.8,Clear
33.2,1016.0,38,0.0,0,2.5,Clear
33.5,1015.0,35,0.0,0,7.3,Clear
33.9,1015.0,31,0.0,0,12.1,Clear
34.2,1015.0,27,0.0,0,16.9,Clear
33.8,1014.0,26,0.0,0,21.2,Clear
33.4,1013.0,25,0.0,0,25.6,Clear
33.0,1013.0,23,0.0,0,29.9,Clear
32.2,1013.0,25,0.0,11,33.2,Clear
31.3,1013.0,27,0.0,22,36.6,Clear
30.5,1013.0,29,0.0,33,40.0,Clear
29.6,1013.0,32,0.0,47,38.8,Clear
28.6,1013.0,34,0.0,60,37.6,Chance of rain
27.7,1012.0,37,0.0,74,36.4,Chance of rain
27.2,1012.0,37,0.0,56,36.6,Chance of rain
26.7,1011.0,38,0.0,38,36.8,Clear
26.2,1011.0,39,0.0,20,37.1,Clear
25.9,1011.0,38,0.0,32,36.7,Clear
25.7,1010.0,38,0.0,43,36.4,Clear
25.4,1010.0,38,0.0,55,36.0,Clear
25.2,1010.0,39,0.0,51,36.7,Clear
24.9,1010.0,41,0.0,47,37.4,Clear
24.7,1010.0,42,0.0,43,38.2,Clear
25.0,1009.0,42,0.0,47,40.1,Clear
25.3,1009.0,43,0.0,50,42.0,Clear
25.6,1009.0,43,0.0,53,43.9,Clear
26.9,1009.0,40,0.0,63,41.5,Clear
28.2,1009.0,36,0.03,73,39.1,Chance of rain
29.5,1008.0,33,0.04,83,36.7,Chance of rain
29.3,1008.0,34,0.02,65,38.6,Chance of rain
29.2,1007.0,35,0.0,47,40.6,Clear
29.0,1007.0,36,0.0,29,42.5,Clear
27.9,1007.0,42,0.0,47,43.4,Clear
26.8,1007.0,48,0.27,66,44.4,Rainy
25.7,1007.0,55,0.36,84,45.4,Rainy
25.2,1007.0,57,0.18,80,44.2,Rainy
24.6,1007.0,60,0.33,77,43.0,Rainy
24.1,1007.0,62,0.44,73,41.8,Rainy
23.5,1006.0,65,0.22,72,43.2,Rainy
22.8,1006.0,67,0.27,72,44.6,Rainy
22.2,1005.0,70,0.36,71,46.1,Rainy
22.1,1005.0,71,0.18,78,48.4,Rainy
22.1,1004.0,72,0.0,85,50.6,Chance of rain
22.0,1003.0,73,0.0,92,52.9,Chance of rain
22.1,1003.0,74,0.0,94,51.0,Chance of rain
22.2,1003.0,75,0.8,97,49.1,Rainy
22.3,1003.0,76,1.07,100,47.2,Rainy
22.9,1003.0,74,0.53,90,37.0,Rainy
23.6,1003.0,73,0.97,80,26.8,Rainy
24.2,1003.0,71,1.29,70,16.6,Rainy
24.8,1003.0,62,0.64,51,18.2,Rainy
25.4,1003.0,53,0.0,32,19.9,Clear
26.0,1002.0,44,0.0,13,21.6,Clear
26.3,1003.0,43,0.0,14,21.1,Clear
26.5,1003.0,42,0.0,15,20.6,Clear
26.8,1003.0,42,0.0,16,20.2,Clear
26.1,1004.0,43,0.0,23,21.4,Clear
25.5,1004.0,43,0.0,29,22.6,Clear
24.8,1005.0,44,0.0,36,23.8,Clear
24.0,1006.0,46,0.0,50,23.9,Clear
23.1,1007.0,49,0.07,63,24.0,Rainy
22.3,1008.0,51,0.09,77,24.1,Rainy
21.9,1009.0,48,0.04,78,22.4,Rainy
21.5,1009.0,45,0.17,79,20.8,Rainy
21.1,1010.0,42,0.22,80,19.1,Rainy
